# Omega(k)/|Omega(k)|, Omega(k) comes from the 4,5,6 columns of Berrycurvature.dat.
#col     1           2           3           4           5           6
  # kx (1/A)    ky (1/A)    kz (1/A)     Omega_x     Omega_y     Omega_z
   -1.166523   -0.673492    0.000000    0.000000    0.000000   -1.000000
   -1.153342   -0.650662    0.000000    0.000000    0.000000   -1.000000
   -1.140161   -0.627832    0.000000    0.000000    0.000000   -1.000000
   -1.126980   -0.605002    0.000000    0.000000    0.000000   -1.000000
   -1.113799   -0.582171    0.000000    0.000000    0.000000   -1.000000
   -1.100618   -0.559341    0.000000    0.000000    0.000000   -1.000000
   -1.087437   -0.536511    0.000000    0.000000    0.000000   -1.000000
   -1.074256   -0.513681    0.000000    0.000000    0.000000   -1.000000
   -1.061075   -0.490850    0.000000    0.000000    0.000000   -1.000000
   -1.047893   -0.468020    0.000000    0.000000    0.000000   -1.000000
   -1.034712   -0.445190    0.000000    0.000000    0.000000   -1.000000
   -1.021531   -0.422360    0.000000    0.000000    0.000000   -1.000000
   -1.008350   -0.399529    0.000000    0.000000    0.000000   -1.000000
   -0.995169   -0.376699    0.000000    0.000000    0.000000   -1.000000
   -0.981988   -0.353869    0.000000    0.000000    0.000000   -1.000000
   -0.968807   -0.331039    0.000000    0.000000    0.000000   -1.000000
   -0.955626   -0.308208    0.000000    0.000000    0.000000   -1.000000
   -0.942445   -0.285378    0.000000    0.000000    0.000000   -1.000000
   -0.929264   -0.262548    0.000000    0.000000    0.000000   -1.000000
   -0.916083   -0.239718    0.000000    0.000000    0.000000   -1.000000
   -0.902902   -0.216887    0.000000    0.000000    0.000000   -1.000000
   -0.889721   -0.194057    0.000000    0.000000    0.000000   -1.000000
   -0.876540   -0.171227    0.000000    0.000000    0.000000   -1.000000
   -0.863359   -0.148397    0.000000    0.000000    0.000000   -1.000000
   -0.850178   -0.125566    0.000000    0.000000    0.000000   -1.000000
   -0.836997   -0.102736    0.000000    0.000000    0.000000   -1.000000
   -0.823816   -0.079906    0.000000    0.000000    0.000000   -1.000000
   -0.810635   -0.057076    0.000000    0.000000    0.000000   -1.000000
   -0.797454   -0.034245    0.000000    0.000000    0.000000   -1.000000
   -0.784272   -0.011415    0.000000    0.000000    0.000000   -1.000000
   -0.771091    0.011415    0.000000    0.000000    0.000000   -1.000000
   -0.757910    0.034245    0.000000    0.000000    0.000000   -1.000000
   -0.744729    0.057076    0.000000    0.000000    0.000000   -1.000000
   -0.731548    0.079906    0.000000    0.000000    0.000000   -1.000000
   -0.718367    0.102736    0.000000    0.000000    0.000000   -1.000000
   -0.705186    0.125566    0.000000    0.000000    0.000000   -1.000000
   -0.692005    0.148397    0.000000    0.000000    0.000000   -1.000000
   -0.678824    0.171227    0.000000    0.000000    0.000000   -1.000000
   -0.665643    0.194057    0.000000    0.000000    0.000000   -1.000000
   -0.652462    0.216887    0.000000    0.000000    0.000000   -1.000000
   -0.639281    0.239718    0.000000    0.000000    0.000000   -1.000000
   -0.626100    0.262548    0.000000    0.000000    0.000000   -1.000000
   -0.612919    0.285378    0.000000    0.000000    0.000000   -1.000000
   -0.599738    0.308208    0.000000    0.000000    0.000000   -1.000000
   -0.586557    0.331039    0.000000    0.000000    0.000000   -1.000000
   -0.573376    0.353869    0.000000    0.000000    0.000000   -1.000000
   -0.560195    0.376699    0.000000    0.000000    0.000000   -1.000000
   -0.547014    0.399529    0.000000    0.000000    0.000000   -1.000000
   -0.533833    0.422360    0.000000    0.000000    0.000000   -1.000000
   -0.520651    0.445190    0.000000    0.000000    0.000000   -1.000000
   -0.507470    0.468020    0.000000    0.000000    0.000000   -1.000000
   -0.494289    0.490850    0.000000    0.000000    0.000000   -1.000000
   -0.481108    0.513681    0.000000    0.000000    0.000000   -1.000000
   -0.467927    0.536511    0.000000    0.000000    0.000000   -1.000000
   -0.454746    0.559341    0.000000    0.000000    0.000000   -1.000000
   -0.441565    0.582171    0.000000    0.000000    0.000000   -1.000000
   -0.428384    0.605002    0.000000    0.000000    0.000000   -1.000000
   -0.415203    0.627832    0.000000    0.000000    0.000000   -1.000000
   -0.402022    0.650662    0.000000    0.000000    0.000000   -1.000000
   -0.388841    0.673492    0.000000    0.000000    0.000000   -1.000000
  
   -1.140161   -0.673492    0.000000    0.000000    0.000000   -1.000000
   -1.126980   -0.650662    0.000000    0.000000    0.000000   -1.000000
   -1.113799   -0.627832    0.000000    0.000000    0.000000   -1.000000
   -1.100618   -0.605002    0.000000    0.000000    0.000000   -1.000000
   -1.087437   -0.582171    0.000000    0.000000    0.000000   -1.000000
   -1.074256   -0.559341    0.000000    0.000000    0.000000   -1.000000
   -1.061075   -0.536511    0.000000    0.000000    0.000000   -1.000000
   -1.047893   -0.513681    0.000000    0.000000    0.000000   -1.000000
   -1.034712   -0.490850    0.000000    0.000000    0.000000   -1.000000
   -1.021531   -0.468020    0.000000    0.000000    0.000000   -1.000000
   -1.008350   -0.445190    0.000000    0.000000    0.000000   -1.000000
   -0.995169   -0.422360    0.000000    0.000000    0.000000   -1.000000
   -0.981988   -0.399529    0.000000    0.000000    0.000000   -1.000000
   -0.968807   -0.376699    0.000000    0.000000    0.000000   -1.000000
   -0.955626   -0.353869    0.000000    0.000000    0.000000   -1.000000
   -0.942445   -0.331039    0.000000    0.000000    0.000000   -1.000000
   -0.929264   -0.308208    0.000000    0.000000    0.000000   -1.000000
   -0.916083   -0.285378    0.000000    0.000000    0.000000   -1.000000
   -0.902902   -0.262548    0.000000    0.000000    0.000000   -1.000000
   -0.889721   -0.239718    0.000000    0.000000    0.000000   -1.000000
   -0.876540   -0.216887    0.000000    0.000000    0.000000   -1.000000
   -0.863359   -0.194057    0.000000    0.000000    0.000000   -1.000000
   -0.850178   -0.171227    0.000000    0.000000    0.000000   -1.000000
   -0.836997   -0.148397    0.000000    0.000000    0.000000   -1.000000
   -0.823816   -0.125566    0.000000    0.000000    0.000000   -1.000000
   -0.810635   -0.102736    0.000000    0.000000    0.000000   -1.000000
   -0.797454   -0.079906    0.000000    0.000000    0.000000   -1.000000
   -0.784272   -0.057076    0.000000    0.000000    0.000000   -1.000000
   -0.771091   -0.034245    0.000000    0.000000    0.000000   -1.000000
   -0.757910   -0.011415    0.000000    0.000000    0.000000   -1.000000
   -0.744729    0.011415    0.000000    0.000000    0.000000   -1.000000
   -0.731548    0.034245    0.000000    0.000000    0.000000   -1.000000
   -0.718367    0.057076    0.000000    0.000000    0.000000   -1.000000
   -0.705186    0.079906    0.000000    0.000000    0.000000   -1.000000
   -0.692005    0.102736    0.000000    0.000000    0.000000   -1.000000
   -0.678824    0.125566    0.000000    0.000000    0.000000   -1.000000
   -0.665643    0.148397    0.000000    0.000000    0.000000   -1.000000
   -0.652462    0.171227    0.000000    0.000000    0.000000   -1.000000
   -0.639281    0.194057    0.000000    0.000000    0.000000   -1.000000
   -0.626100    0.216887    0.000000    0.000000    0.000000   -1.000000
   -0.612919    0.239718    0.000000    0.000000    0.000000   -1.000000
   -0.599738    0.262548    0.000000    0.000000    0.000000   -1.000000
   -0.586557    0.285378    0.000000    0.000000    0.000000   -1.000000
   -0.573376    0.308208    0.000000    0.000000    0.000000   -1.000000
   -0.560195    0.331039    0.000000    0.000000    0.000000   -1.000000
   -0.547014    0.353869    0.000000    0.000000    0.000000   -1.000000
   -0.533833    0.376699    0.000000    0.000000    0.000000   -1.000000
   -0.520651    0.399529    0.000000    0.000000    0.000000   -1.000000
   -0.507470    0.422360    0.000000    0.000000    0.000000   -1.000000
   -0.494289    0.445190    0.000000    0.000000    0.000000   -1.000000
   -0.481108    0.468020    0.000000    0.000000    0.000000   -1.000000
   -0.467927    0.490850    0.000000    0.000000    0.000000   -1.000000
   -0.454746    0.513681    0.000000    0.000000    0.000000   -1.000000
   -0.441565    0.536511    0.000000    0.000000    0.000000   -1.000000
