# Orbital magnetization in unit of Bohr magneton \mu_B
#col     1           2           3           4           5           6           7           8           9          10          11          12          13          14          15
#                                      Sum over 1~NumOccupied bands       values at NumOccupied'th band               Sum below Fermi level               values at Fermi level
# kx (1/A)    ky (1/A)    kz (1/A)         m_x         m_y         m_z         m_x         m_y         m_z         m_x         m_y         m_z         m_x         m_y         m_z
   -1.166523   -0.673492    0.000000  0.0000E+00  0.0000E+00  0.3588E-01  0.0000E+00  0.0000E+00  0.3588E-01  0.0000E+00  0.0000E+00  0.3588E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.153342   -0.650662    0.000000  0.0000E+00  0.0000E+00  0.3494E-01  0.0000E+00  0.0000E+00  0.3494E-01  0.0000E+00  0.0000E+00  0.3494E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.140161   -0.627832    0.000000  0.0000E+00  0.0000E+00  0.3372E-01  0.0000E+00  0.0000E+00  0.3372E-01  0.0000E+00  0.0000E+00  0.3372E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.126980   -0.605002    0.000000  0.0000E+00  0.0000E+00  0.3224E-01  0.0000E+00  0.0000E+00  0.3224E-01  0.0000E+00  0.0000E+00  0.3224E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.113799   -0.582171    0.000000  0.0000E+00  0.0000E+00  0.3055E-01  0.0000E+00  0.0000E+00  0.3055E-01  0.0000E+00  0.0000E+00  0.3055E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.100618   -0.559341    0.000000  0.0000E+00  0.0000E+00  0.2870E-01  0.0000E+00  0.0000E+00  0.2870E-01  0.0000E+00  0.0000E+00  0.2870E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.087437   -0.536511    0.000000  0.0000E+00  0.0000E+00  0.2676E-01  0.0000E+00  0.0000E+00  0.2676E-01  0.0000E+00  0.0000E+00  0.2676E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.074256   -0.513681    0.000000  0.0000E+00  0.0000E+00  0.2480E-01  0.0000E+00  0.0000E+00  0.2480E-01  0.0000E+00  0.0000E+00  0.2480E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.061075   -0.490850    0.000000  0.0000E+00  0.0000E+00  0.2289E-01  0.0000E+00  0.0000E+00  0.2289E-01  0.0000E+00  0.0000E+00  0.2289E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.047893   -0.468020    0.000000  0.0000E+00  0.0000E+00  0.2109E-01  0.0000E+00  0.0000E+00  0.2109E-01  0.0000E+00  0.0000E+00  0.2109E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.034712   -0.445190    0.000000  0.0000E+00  0.0000E+00  0.1948E-01  0.0000E+00  0.0000E+00  0.1948E-01  0.0000E+00  0.0000E+00  0.1948E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.021531   -0.422360    0.000000  0.0000E+00  0.0000E+00  0.1810E-01  0.0000E+00  0.0000E+00  0.1810E-01  0.0000E+00  0.0000E+00  0.1810E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.008350   -0.399529    0.000000  0.0000E+00  0.0000E+00  0.1701E-01  0.0000E+00  0.0000E+00  0.1701E-01  0.0000E+00  0.0000E+00  0.1701E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.995169   -0.376699    0.000000  0.0000E+00  0.0000E+00  0.1623E-01  0.0000E+00  0.0000E+00  0.1623E-01  0.0000E+00  0.0000E+00  0.1623E-01  0.0000E+00  0.0000E+00  0.0000E+00
