#       # k              E            BS weight       TS weight
      0.0000000     -3.0057674       0.0000622       0.0000654
      0.0257114     -3.0047632       0.0000620       0.0000655
      0.0514229     -3.0017499       0.0000619       0.0000656
      0.0771343     -2.9967296       0.0000617       0.0000657
      0.1028457     -2.9897065       0.0000616       0.0000658
      0.1285572     -2.9806867       0.0000614       0.0000659
      0.1542686     -2.9696784       0.0000612       0.0000659
      0.1799800     -2.9566918       0.0000609       0.0000660
      0.2056915     -2.9417390       0.0000607       0.0000660
      0.2314029     -2.9248343       0.0000605       0.0000660
      0.2571143     -2.9059939       0.0000602       0.0000661
      0.2828258     -2.8852358       0.0000599       0.0000661
      0.3085372     -2.8625803       0.0000596       0.0000660
      0.3342487     -2.8380495       0.0000593       0.0000660
      0.3599601     -2.8116672       0.0000590       0.0000660
      0.3856715     -2.7834594       0.0000586       0.0000659
      0.4113830     -2.7534539       0.0000583       0.0000659
      0.4370944     -2.7216802       0.0000579       0.0000658
      0.4628058     -2.6881700       0.0000575       0.0000657
      0.4885173     -2.6529565       0.0000571       0.0000656
      0.5142287     -2.6160747       0.0000566       0.0000655
      0.5399401     -2.5775615       0.0000562       0.0000654
      0.5656516     -2.5374554       0.0000557       0.0000652
      0.5913630     -2.4957966       0.0000552       0.0000651
      0.6170744     -2.4526270       0.0000547       0.0000649
      0.6427859     -2.4079900       0.0000542       0.0000647
      0.6684973     -2.3619306       0.0000536       0.0000645
      0.6942087     -2.3144955       0.0000530       0.0000643
      0.7199202     -2.2657326       0.0000524       0.0000640
      0.7456316     -2.2156913       0.0000518       0.0000638
      0.7713430     -2.1644226       0.0000511       0.0000635
      0.7970545     -2.1119784       0.0000505       0.0000632
      0.8227659     -2.0584123       0.0000498       0.0000629
      0.8484774     -2.0037789       0.0000490       0.0000625
      0.8741888     -1.9481339       0.0000483       0.0000622
      0.8999002     -1.8915343       0.0000475       0.0000618
      0.9256117     -1.8340379       0.0000467       0.0000614
      0.9513231     -1.7757037       0.0000459       0.0000610
      0.9770345     -1.7165914       0.0000451       0.0000606
      1.0027460     -1.6567618       0.0000443       0.0000601
      1.0284574     -1.5962763       0.0000434       0.0000597
      1.0541688     -1.5351970       0.0000426       0.0000593
      1.0798803     -1.4735868       0.0000418       0.0000589
