        #      k      largestgap  sum(wcc(:,ik))      wcc(i, ik)(i=1, NumOccupied)
      0.00000000      0.02612958      0.52612958      0.52612958
      0.00847458      0.02997254      0.52997254      0.52997254
      0.01694915      0.03393401      0.53393401      0.53393401
      0.02542373      0.03806278      0.53806278      0.53806278
      0.03389831      0.04239518      0.54239518      0.54239518
      0.04237288      0.04697918      0.54697918      0.54697918
      0.05084746      0.05187152      0.55187152      0.55187152
      0.05932203      0.05714031      0.55714031      0.55714031
      0.06779661      0.06286834      0.56286834      0.56286834
      0.07627119      0.06915699      0.56915699      0.56915699
      0.08474576      0.07613097      0.57613097      0.57613097
      0.09322034      0.08394367      0.58394367      0.58394367
      0.10169492      0.09278286      0.59278286      0.59278286
      0.11016949      0.10287528      0.60287528      0.60287528
      0.11864407      0.11448773      0.61448773      0.61448773
      0.12711864      0.12791950      0.62791950      0.62791950
      0.13559322      0.14347767      0.64347767      0.64347767
      0.14406780      0.16142456      0.66142456      0.66142456
      0.15254237      0.18188983      0.68188983      0.68188983
      0.16101695      0.20475821      0.70475821      0.70475821
      0.16949153      0.22957999      0.72957999      0.72957999
      0.17796610      0.25557983      0.75557983      0.75557983
      0.18644068      0.28180697      0.78180697      0.78180697
      0.19491525      0.30737070      0.80737070      0.80737070
      0.20338983      0.33163356      0.83163356      0.83163356
      0.21186441      0.35427818      0.85427818      0.85427818
      0.22033898      0.37526323      0.87526323      0.87526323
      0.22881356      0.39473480      0.89473480      0.89473480
      0.23728814      0.41294635      0.91294635      0.91294635
      0.24576271      0.43020843      0.93020843      0.93020843
      0.25423729      0.44686909      0.94686909      0.94686909
      0.26271186      0.46332091      0.96332091      0.96332091
      0.27118644      0.48003389      0.98003389      0.98003389
      0.27966102      0.49762278      0.99762278      0.99762278
      0.28813559      0.51697278      0.01697278      0.01697278
      0.29661017      0.53947704      0.03947704      0.03947704
      0.30508475      0.56748633      0.06748633      0.06748633
      0.31355932      0.60505388      0.10505388      0.10505388
      0.32203390      0.65816827      0.15816827      0.15816827
      0.33050847      0.72977332      0.22977332      0.22977332
      0.33898305      0.80546247      0.30546247      0.30546247
      0.34745763      0.86378480      0.36378480      0.36378480
      0.35593220      0.90208776      0.40208776      0.40208776
      0.36440678      0.92720655      0.42720655      0.42720655
      0.37288136      0.94439113      0.44439113      0.44439113
      0.38135593      0.95690648      0.45690648      0.45690648
      0.38983051      0.96651211      0.46651211      0.46651211
      0.39830508      0.97422621      0.47422621      0.47422621
      0.40677966      0.98066675      0.48066675      0.48066675
      0.41525424      0.98622653      0.48622653      0.48622653
      0.42372881      0.99116586      0.49116586      0.49116586
      0.43220339      0.99566381      0.49566381      0.49566381
      0.44067797      0.99984781      0.49984781      0.49984781
      0.44915254      0.00381150      0.50381150      0.50381150
      0.45762712      0.00762599      0.50762599      0.50762599
      0.46610169      0.01134718      0.51134718      0.51134718
      0.47457627      0.01502071      0.51502071      0.51502071
      0.48305085      0.01868550      0.51868550      0.51868550
      0.49152542      0.02237639      0.52237639      0.52237639
      0.50000000      0.02612618      0.52612618      0.52612618
