# Omega(k)/|Omega(k)|, Omega(k) comes from the 4,5,6 columns of Berrycurvature.dat.
#col     1           2           3           4           5           6
  # kx (1/A)    ky (1/A)    kz (1/A)     Omega_x     Omega_y     Omega_z
   -1.662459    0.000000   -1.662459    0.000000    0.000000    1.000000
   -1.662459    0.000000   -1.606105    0.000000    0.000000    1.000000
   -1.662459    0.000000   -1.549750    0.000000    0.000000    1.000000
   -1.662459    0.000000   -1.493396    0.000000    0.000000    1.000000
   -1.662459    0.000000   -1.437041    0.000000    0.000000    1.000000
   -1.662459    0.000000   -1.380686    0.000000    0.000000    1.000000
   -1.662459    0.000000   -1.324332    0.000000    0.000000    1.000000
   -1.662459    0.000000   -1.267977    0.000000    0.000000    1.000000
   -1.662459    0.000000   -1.211623    0.000000    0.000000    1.000000
   -1.662459    0.000000   -1.155268    0.000000    0.000000    1.000000
   -1.662459    0.000000   -1.098914    0.000000    0.000000    1.000000
   -1.662459    0.000000   -1.042559    0.000000    0.000000    1.000000
   -1.662459    0.000000   -0.986205    0.000000    0.000000    1.000000
   -1.662459    0.000000   -0.929850    0.000000    0.000000    1.000000
   -1.662459    0.000000   -0.873496    0.000000    0.000000    1.000000
   -1.662459    0.000000   -0.817141    0.000000    0.000000    1.000000
   -1.662459    0.000000   -0.760786    0.000000    0.000000    1.000000
   -1.662459    0.000000   -0.704432    0.000000    0.000000    1.000000
   -1.662459    0.000000   -0.648077    0.000000    0.000000    1.000000
   -1.662459    0.000000   -0.591723    0.000000    0.000000    1.000000
   -1.662459    0.000000   -0.535368    0.000000    0.000000    1.000000
   -1.662459    0.000000   -0.479014    0.000000    0.000000    1.000000
   -1.662459    0.000000   -0.422659    0.000000    0.000000    1.000000
   -1.662459    0.000000   -0.366305    0.000000    0.000000    1.000000
   -1.662459    0.000000   -0.309950    0.000000    0.000000    1.000000
   -1.662459    0.000000   -0.253595    0.000000    0.000000    1.000000
   -1.662459    0.000000   -0.197241    0.000000    0.000000    1.000000
   -1.662459    0.000000   -0.140886    0.000000    0.000000    1.000000
   -1.662459    0.000000   -0.084532    0.000000    0.000000    1.000000
   -1.662459    0.000000   -0.028177    0.000000    0.000000    1.000000
   -1.662459    0.000000    0.028177    0.000000    0.000000    1.000000
   -1.662459    0.000000    0.084532    0.000000    0.000000    1.000000
   -1.662459    0.000000    0.140886    0.000000    0.000000    1.000000
   -1.662459    0.000000    0.197241    0.000000    0.000000    1.000000
   -1.662459    0.000000    0.253595    0.000000    0.000000    1.000000
   -1.662459    0.000000    0.309950    0.000000    0.000000    1.000000
   -1.662459    0.000000    0.366305    0.000000    0.000000    1.000000
   -1.662459    0.000000    0.422659    0.000000    0.000000    1.000000
   -1.662459    0.000000    0.479014    0.000000    0.000000    1.000000
   -1.662459    0.000000    0.535368    0.000000    0.000000    1.000000
   -1.662459    0.000000    0.591723    0.000000    0.000000    1.000000
   -1.662459    0.000000    0.648077    0.000000    0.000000    1.000000
