# Berry curvature in unit of (Angstrom^2)  
#                                      Sum over 1-NumOccupied bands       values at NumOccupied'th band               Sum below Fermi level               values at Fermi level
# kx (1/A)    ky (1/A)    kz (1/A)     Omega_x     Omega_y     Omega_z     Omega_x     Omega_y     Omega_z     Omega_x     Omega_y     Omega_z     Omega_x     Omega_y     Omega_z
#col     1           2           3           4           5           6           7           8           9          10          11          12          13          14          15
   -1.662459    0.000000   -1.662459  0.0000E+00  0.0000E+00  0.1020E-01  0.0000E+00  0.0000E+00  0.1020E-01  0.0000E+00  0.0000E+00  0.1020E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.662459    0.000000   -1.606105  0.0000E+00  0.0000E+00  0.1024E-01  0.0000E+00  0.0000E+00  0.1024E-01  0.0000E+00  0.0000E+00  0.1024E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.662459    0.000000   -1.549750  0.0000E+00  0.0000E+00  0.1034E-01  0.0000E+00  0.0000E+00  0.1034E-01  0.0000E+00  0.0000E+00  0.1034E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.662459    0.000000   -1.493396  0.0000E+00  0.0000E+00  0.1051E-01  0.0000E+00  0.0000E+00  0.1051E-01  0.0000E+00  0.0000E+00  0.1051E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.662459    0.000000   -1.437041  0.0000E+00  0.0000E+00  0.1075E-01  0.0000E+00  0.0000E+00  0.1075E-01  0.0000E+00  0.0000E+00  0.1075E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.662459    0.000000   -1.380686  0.0000E+00  0.0000E+00  0.1106E-01  0.0000E+00  0.0000E+00  0.1106E-01  0.0000E+00  0.0000E+00  0.1106E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.662459    0.000000   -1.324332  0.0000E+00  0.0000E+00  0.1146E-01  0.0000E+00  0.0000E+00  0.1146E-01  0.0000E+00  0.0000E+00  0.1146E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.662459    0.000000   -1.267977  0.0000E+00  0.0000E+00  0.1195E-01  0.0000E+00  0.0000E+00  0.1195E-01  0.0000E+00  0.0000E+00  0.1195E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.662459    0.000000   -1.211623  0.0000E+00  0.0000E+00  0.1253E-01  0.0000E+00  0.0000E+00  0.1253E-01  0.0000E+00  0.0000E+00  0.1253E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.662459    0.000000   -1.155268  0.0000E+00  0.0000E+00  0.1322E-01  0.0000E+00  0.0000E+00  0.1322E-01  0.0000E+00  0.0000E+00  0.1322E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.662459    0.000000   -1.098914  0.0000E+00  0.0000E+00  0.1403E-01  0.0000E+00  0.0000E+00  0.1403E-01  0.0000E+00  0.0000E+00  0.1403E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.662459    0.000000   -1.042559  0.0000E+00  0.0000E+00  0.1498E-01  0.0000E+00  0.0000E+00  0.1498E-01  0.0000E+00  0.0000E+00  0.1498E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.662459    0.000000   -0.986205  0.0000E+00  0.0000E+00  0.1607E-01  0.0000E+00  0.0000E+00  0.1607E-01  0.0000E+00  0.0000E+00  0.1607E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.662459    0.000000   -0.929850  0.0000E+00  0.0000E+00  0.1734E-01  0.0000E+00  0.0000E+00  0.1734E-01  0.0000E+00  0.0000E+00  0.1734E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.662459    0.000000   -0.873496  0.0000E+00  0.0000E+00  0.1878E-01  0.0000E+00  0.0000E+00  0.1878E-01  0.0000E+00  0.0000E+00  0.1878E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.662459    0.000000   -0.817141  0.0000E+00  0.0000E+00  0.2043E-01  0.0000E+00  0.0000E+00  0.2043E-01  0.0000E+00  0.0000E+00  0.2043E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.662459    0.000000   -0.760786  0.0000E+00  0.0000E+00  0.2231E-01  0.0000E+00  0.0000E+00  0.2231E-01  0.0000E+00  0.0000E+00  0.2231E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.662459    0.000000   -0.704432  0.0000E+00  0.0000E+00  0.2442E-01  0.0000E+00  0.0000E+00  0.2442E-01  0.0000E+00  0.0000E+00  0.2442E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.662459    0.000000   -0.648077  0.0000E+00  0.0000E+00  0.2677E-01  0.0000E+00  0.0000E+00  0.2677E-01  0.0000E+00  0.0000E+00  0.2677E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.662459    0.000000   -0.591723  0.0000E+00  0.0000E+00  0.2938E-01  0.0000E+00  0.0000E+00  0.2938E-01  0.0000E+00  0.0000E+00  0.2938E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.662459    0.000000   -0.535368  0.0000E+00  0.0000E+00  0.3222E-01  0.0000E+00  0.0000E+00  0.3222E-01  0.0000E+00  0.0000E+00  0.3222E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.662459    0.000000   -0.479014  0.0000E+00  0.0000E+00  0.3527E-01  0.0000E+00  0.0000E+00  0.3527E-01  0.0000E+00  0.0000E+00  0.3527E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.662459    0.000000   -0.422659  0.0000E+00  0.0000E+00  0.3848E-01  0.0000E+00  0.0000E+00  0.3848E-01  0.0000E+00  0.0000E+00  0.3848E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.662459    0.000000   -0.366305  0.0000E+00  0.0000E+00  0.4176E-01  0.0000E+00  0.0000E+00  0.4176E-01  0.0000E+00  0.0000E+00  0.4176E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.662459    0.000000   -0.309950  0.0000E+00  0.0000E+00  0.4500E-01  0.0000E+00  0.0000E+00  0.4500E-01  0.0000E+00  0.0000E+00  0.4500E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.662459    0.000000   -0.253595  0.0000E+00  0.0000E+00  0.4807E-01  0.0000E+00  0.0000E+00  0.4807E-01  0.0000E+00  0.0000E+00  0.4807E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.662459    0.000000   -0.197241  0.0000E+00  0.0000E+00  0.5080E-01  0.0000E+00  0.0000E+00  0.5080E-01  0.0000E+00  0.0000E+00  0.5080E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.662459    0.000000   -0.140886  0.0000E+00  0.0000E+00  0.5303E-01  0.0000E+00  0.0000E+00  0.5303E-01  0.0000E+00  0.0000E+00  0.5303E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.662459    0.000000   -0.084532  0.0000E+00  0.0000E+00  0.5462E-01  0.0000E+00  0.0000E+00  0.5462E-01  0.0000E+00  0.0000E+00  0.5462E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.662459    0.000000   -0.028177  0.0000E+00  0.0000E+00  0.5545E-01  0.0000E+00  0.0000E+00  0.5545E-01  0.0000E+00  0.0000E+00  0.5545E-01  0.0000E+00  0.0000E+00  0.0000E+00
