        #      k      largestgap  sum(wcc(:,ik))      wcc(i, ik)(i=1, NumOccupied)
      0.00000000      0.00000000      0.50000000      0.50000000
      0.00847458      0.04926881      0.54926881      0.54926881
      0.01694915      0.09765739      0.59765739      0.59765739
      0.02542373      0.14448212      0.64448212      0.64448212
      0.03389831      0.18936128      0.68936128      0.68936128
      0.04237288      0.23218174      0.73218174      0.73218174
      0.05084746      0.27293069      0.77293069      0.77293069
      0.05932203      0.31143690      0.81143690      0.81143690
      0.06779661      0.34713394      0.84713394      0.84713394
      0.07627119      0.37905506      0.87905506      0.87905506
      0.08474576      0.40621421      0.90621421      0.90621421
      0.09322034      0.42814759      0.92814759      0.92814759
      0.10169492      0.44512954      0.94512954      0.94512954
      0.11016949      0.45794093      0.95794093      0.95794093
      0.11864407      0.46750415      0.96750415      0.96750415
      0.12711864      0.47464671      0.97464671      0.97464671
      0.13559322      0.48002101      0.98002101      0.98002101
      0.14406780      0.48411012      0.98411012      0.98411012
      0.15254237      0.48726211      0.98726211      0.98726211
      0.16101695      0.48972576      0.98972576      0.98972576
      0.16949153      0.49167933      0.99167933      0.99167933
      0.17796610      0.49325166      0.99325166      0.99325166
      0.18644068      0.49453699      0.99453699      0.99453699
      0.19491525      0.49560522      0.99560522      0.99560522
      0.20338983      0.49650908      0.99650908      0.99650908
      0.21186441      0.49728913      0.99728913      0.99728913
      0.22033898      0.49797725      0.99797725      0.99797725
      0.22881356      0.49859922      0.99859922      0.99859922
      0.23728814      0.49917664      0.99917664      0.99917664
      0.24576271      0.49972835      0.99972835      0.99972835
      0.25423729      0.50027165      0.00027165      0.00027165
      0.26271186      0.50082336      0.00082336      0.00082336
      0.27118644      0.50140078      0.00140078      0.00140078
      0.27966102      0.50202275      0.00202275      0.00202275
      0.28813559      0.50271087      0.00271087      0.00271087
      0.29661017      0.50349092      0.00349092      0.00349092
      0.30508475      0.50439478      0.00439478      0.00439478
      0.31355932      0.50546301      0.00546301      0.00546301
      0.32203390      0.50674834      0.00674834      0.00674834
      0.33050847      0.50832067      0.00832067      0.00832067
      0.33898305      0.51027424      0.01027424      0.01027424
      0.34745763      0.51273789      0.01273789      0.01273789
      0.35593220      0.51588988      0.01588988      0.01588988
      0.36440678      0.51997899      0.01997899      0.01997899
      0.37288136      0.52535329      0.02535329      0.02535329
      0.38135593      0.53249585      0.03249585      0.03249585
      0.38983051      0.54205907      0.04205907      0.04205907
      0.39830508      0.55487046      0.05487046      0.05487046
      0.40677966      0.57185241      0.07185241      0.07185241
      0.41525424      0.59378579      0.09378579      0.09378579
      0.42372881      0.62094494      0.12094494      0.12094494
      0.43220339      0.65286606      0.15286606      0.15286606
      0.44067797      0.68856310      0.18856310      0.18856310
      0.44915254      0.72706931      0.22706931      0.22706931
      0.45762712      0.76781826      0.26781826      0.26781826
      0.46610169      0.81063872      0.31063872      0.31063872
      0.47457627      0.85551788      0.35551788      0.35551788
      0.48305085      0.90234261      0.40234261      0.40234261
      0.49152542      0.95073119      0.45073119      0.45073119
      0.50000000      0.00000000      0.50000000      0.50000000
