# local minimal position and the related energy gap
#        kx            ky            kz           gap             E            k1            k2            k3
   -0.49345410   -0.00781221    0.00000004    0.00000003    0.23118144   -0.51008822   -0.00807556    0.25908196
    0.49345410    0.00781221    0.00000001    0.00000002    0.23118144    0.51008822    0.00807556   -0.25908186
   -0.49345410    0.00781221    0.00000004    0.00000003    0.23118144   -0.51008822    0.00807556    0.25100639
    0.49345410   -0.00781221   -0.00000002    0.00000002    0.23118144    0.51008821   -0.00807556   -0.25100636
   -0.27343227    0.01905504   -0.16798224    0.00000001    0.23782847   -0.28264955    0.01969738   -0.16296738
   -0.27343227   -0.01905504   -0.16798224    0.00000002    0.23782847   -0.28264955   -0.01969738   -0.14327000
   -0.27343226    0.01905504    0.16798225    0.00000002    0.23782847   -0.28264954    0.01969738    0.42591955
   -0.01905504    0.27343227   -0.16798224    0.00000002    0.23782847   -0.01969738    0.28264955   -0.42591955
   -0.01905504    0.27343227    0.16798224    0.00000001    0.23782847   -0.01969738    0.28264955    0.16296738
    0.01905505    0.27343227    0.16798224    0.00000002    0.23782846    0.01969738    0.28264955    0.14327000
   -0.01905505   -0.27343226    0.16798225    0.00000002    0.23782846   -0.01969738   -0.28264954    0.44561693
   -0.27343226   -0.01905505    0.16798224    0.00000001    0.23782846   -0.28264954   -0.01969738    0.44561693
   -0.00781221   -0.49345410    0.00000000    0.00000002    0.23118144   -0.00807556   -0.51008822    0.25908189
    0.00781221    0.49345410    0.00000002    0.00000003    0.23118144    0.00807556    0.51008822   -0.25908186
    0.00781221   -0.49345410   -0.00000000    0.00000002    0.23118144    0.00807556   -0.51008822    0.25100632
    0.01905505   -0.27343226   -0.16798225    0.00000002    0.23782847    0.01969738   -0.28264954   -0.16296739
    0.01905504   -0.27343227    0.16798224    0.00000002    0.23782846    0.01969738   -0.28264955    0.42591955
   -0.01905505   -0.27343226   -0.16798225    0.00000002    0.23782847   -0.01969738   -0.28264954   -0.14327001
    0.01905505    0.27343226   -0.16798224    0.00000002    0.23782846    0.01969738    0.28264954   -0.44561693
    0.27343227   -0.01905504   -0.16798224    0.00000001    0.23782847    0.28264955   -0.01969738   -0.42591955
    0.27343227    0.01905504   -0.16798224    0.00000003    0.23782846    0.28264955    0.01969738   -0.44561692
    0.27343226   -0.01905505    0.16798224    0.00000002    0.23782846    0.28264954   -0.01969738    0.16296739
    0.27343226    0.01905504    0.16798225    0.00000003    0.23782847    0.28264954    0.01969738    0.14327001
   -0.00781221    0.49345410    0.00000003    0.00000003    0.23118144   -0.00807556    0.51008822   -0.25100627
